id,class,UsingIPAddress1,URLlengthRule1,TinyService,checkArrobaURL,checkRedirectURL,checkDashDomain,checkSubDomainMulSubDomain,checkHTTPSDomainURL,GoogleIndex,StatisticalReports,SSLFinal_state2,AgeSSL2,numDotsURL,NumDotSubDomain,pathLevelURL,URLlength,NumDashURL,NumDashDomain,checkTildeSymbolURL,NumUnderscoreURL,NumPercentURL,NumAmpersandURL,QueryComponents,NumHashURL,NumNumericCharsURL,NoHTTPS,DomainInSubdomains,DomainInPaths,HostnameLenth,PathLength,QueryLength,NumSensitiveWords,NumArrobaURL,KnowLTD,get_PositionTLD,BrandNameURL,numDots_URLRule4,SpecialSymbol4,URLlengthRule4,SuspiciousInURL,httpCountInURL,BrandNameDomain,NumNumericChars_Path,NumNumericChars_Domain,NumNumericChars_Subdomain,RandomDomain,RandomString,DomainLength,SubdomainLength,checkWWW,checkCOM,numInterrogation,numBar,numEqual,numArroba,checkAlexa,RawWordCount,AvaregeWordLength,LongestWordLength,ShortestWordLength,StandardDerivation,AdjacentWordCount,AverageAdjacentWordLength,SeparatedWordCount,OtherWordsCount,RandomWordCount,KeywordCount,BrandNameCount,TargetBrandNameCount,TargetKeywordCount,SimilarBrandNameCount,SimilarKeywordCount,ConsecutiveCharacterRepeat,URLofAnchorRule1,statusBarCost,SubmittingEmailTo,DisablingRightClick,ServerFormHandler,EmbeddedBrandName,URLofAnchorCat,InsecureForm,RelativeFormAction,ExtFormAction,AbnormalFormAction,FrequentDomainNameMismatch,PopUpWindow,ImagesOnlyInForm,PctExtResourceUrls,IframeOrFrame,LinksMetaScript,checkTitle,FakeLoginForm,Copied_CSS,IdentityKeywords,URLofAnchorRule4,CheckDataURI,ForeignhyperlinksRule1,FaviconD,Foreignhyperlinks,Numberofwebpages,ForeignhyperlinksRule4,Nohyperlinkfeature,Copyrightfeatures,LinksMetaScriptRule1,IFrameRedFrameBorder,IFrameExternalSRC,NumberRedirect
26,1,0,0,0,0,0,0,0,0,0,0,1,365,1,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,5,0,0,1,6,5.333333333333333,15,0,4.642796092394708,91,7.0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,-1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
27,1,0,0,1,0,0,0,0,0,1,0,1,5479,4,2,1,39,0,0,0,0,0,0,0,0,5,0,0,0,25,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5,0,1,7,18,0,0,0,3,0,0,1,7,4.571428571428571,13,0,4.16986271980755,21,4.666666666666667,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,1,90,1,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,3,0,0,1,4,5.5,10,3,2.6925824035672523,36,5.333333333333333,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0.0,0,0.5714285714285714,1,1,0,1,0,0,2,2,1.0,10,1,1,1,1,0,0,0
30,1,0,0,0,0,0,1,0,0,0,0,1,-1,2,0,1,47,1,1,0,0,0,0,0,0,2,0,0,1,22,13,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,22,0,0,0,0,3,0,0,1,4,10.75,22,3,7.258615570478987,171,8.666666666666666,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,1,0.125,0,0.2,1,0,0,0,0,0,2,1,0.92,25,1,1,1,1,0,0,0
31,1,0,0,0,0,0,0,0,0,1,0,1,-1,2,0,1,22,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,3,5,0,0,0,3,0,0,0,5,3.4,6,0,2.0591260281974,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,1,0.9166666666666666,1,0,0,1,0,0,2,0,1.0,11,1,1,1,2,0,0,0
33,1,0,1,0,1,0,1,0,0,1,0,1,90,3,0,2,71,1,1,0,0,0,0,1,0,0,0,0,0,17,5,35,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,14,3,0,0,1,4,1,1,1,9,6.888888888888888,25,0,7.385337492392829,354,9.52542372881356,7,14,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0.16666666666666666,1,1,0,0,0,0,0,0.16666666666666666,0,0.75,1,1,0,1,0,0,2,0,1.0,15,1,1,1,1,0,0,0
34,1,0,2,0,0,0,0,0,0,0,0,1,90,3,0,4,218,1,0,0,1,0,2,3,0,69,0,0,1,5,33,165,2,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,5,0,0,0,1,6,3,0,1,14,14.571428571428573,76,2,22.88079133782085,97,5.4226804123711325,6,10,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,1.0,1,0,1,1,0,0,2,2,1.0,2,1,1,1,2,0,0,0
36,1,0,0,0,0,0,0,0,0,1,0,1,821,2,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,3,0,0,0,5,4.4,7,0,2.576819745345025,0,0.0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0.5,1,0.32142857142857145,1,1,0,0,1,0,2,2,0.9629629629629628,27,1,1,1,1,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,5,0,0,1,6,6.0,18,0,5.686240703077327,136,8.0,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.5714285714285714,1,0,0,1,0,0,2,2,1.0,9,1,1,1,1,0,0,0
40,1,0,0,0,0,0,0,0,0,1,0,1,-1,3,0,4,43,1,0,0,0,0,0,0,0,2,0,0,0,12,17,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,9,3,0,0,0,6,0,0,1,9,3.7777777777777777,9,0,2.4393887111222385,28,5.0,2,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0.4,1,1,0,1,1,0,2,2,1.0,19,1,1,1,1,0,0,0
42,1,0,2,0,0,0,1,0,0,1,0,1,1825,4,1,2,77,1,1,0,0,0,0,0,0,21,0,0,1,22,43,0,1,0,0,1,0,1,1,1,1,0,0,21,0,0,0,1,6,16,0,1,0,4,1,0,1,9,7.555555555555554,27,1,7.228202652129152,28,5.0,2,9,3,1,0,0,1,0,0,0,2,0,0,0,1,0,0.7297297297297297,0,0,1,0,0,0,0,0.7297297297297297,0,0.4583333333333333,1,1,0,1,1,0,2,0,0.8039215686274509,102,1,1,1,1,0,0,0
45,1,0,0,0,0,0,0,0,0,1,0,1,364,1,0,1,35,0,0,0,0,0,0,0,0,5,0,0,0,5,18,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,3,0,0,0,4,7.75,17,3,5.4486236794258405,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,0.4827586206896552,1,0,1,0,0,0,2,1,0.7142857142857143,14,1,1,1,1,0,0,0
46,1,0,0,0,0,0,0,0,0,1,0,1,-1,3,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,26,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,3,0,0,1,5,9.0,23,3,7.589466384404111,276,9.014492753623188,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
48,1,0,2,0,0,0,0,0,0,0,0,1,90,2,0,2,212,1,0,0,1,0,2,3,0,76,0,0,1,13,22,165,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,13,0,0,0,1,4,3,0,1,11,18.272727272727273,76,3,24.764677591245704,166,6.042168674698795,5,19,5,2,0,0,1,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0.6666666666666666,1,1,0,1,1,0,2,0,1.0,20,1,1,1,1,0,0,0
55,1,0,0,0,0,0,1,0,0,0,0,1,90,2,0,1,25,1,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,7,6,0,1,0,3,0,0,1,5,4.0,7,0,2.6076809620810595,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.5454545454545454,1,0,0,0,0,0,2,0,1.0,43,1,1,1,1,0,0,0
56,1,0,0,0,0,0,0,0,0,1,0,1,-1,2,0,1,42,0,0,0,0,0,0,0,0,2,0,0,0,29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,7,22,0,0,0,3,0,0,1,5,7.4,22,0,7.657675887630659,170,8.7,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,1,1,0,0,0,0,0,0.03225806451612903,1,0.7142857142857143,1,1,0,0,0,0,2,2,0.9591836734693876,98,1,1,0,1,0,1,0
58,1,0,1,1,0,0,0,0,0,1,0,1,5479,4,2,1,57,2,2,0,0,0,0,0,0,3,0,0,0,34,11,0,1,0,1,1,1,1,1,0,1,0,0,2,0,1,0,1,7,27,0,0,0,3,0,0,1,7,7.142857142857142,22,1,6.706682625317431,211,8.568720379146919,5,14,1,1,1,1,1,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,1,0.2307692307692308,1,0,1,1,1,0,2,1,1.0,13,1,1,1,1,0,1,0
59,1,0,0,0,0,0,0,0,0,1,0,1,396,1,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,0,0,0,5,4.2,8,0,2.8565713714171403,21,4.666666666666667,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818185,0,0,0,0,1,0,0,0.18181818181818185,1,0.5402298850574713,1,0,1,0,0,0,2,1,0.6376811594202898,138,1,1,0,1,0,0,0
60,1,0,2,0,0,1,0,0,0,0,0,1,-1,22,0,30,413,0,0,0,5,0,6,7,0,8,1,0,0,10,13,378,2,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,10,0,0,0,2,32,7,0,1,58,6.120689655172414,36,0,5.927951283616244,1385,9.843321299638987,27,71,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,-1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
63,1,0,0,0,0,0,0,0,0,1,0,1,365,1,0,2,32,0,0,0,0,0,0,0,0,6,0,0,0,10,11,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,10,0,0,0,0,4,0,0,1,5,5.4,10,3,2.576819745345025,36,5.333333333333333,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10441767068273093,0,0,0,0,1,0,0,0.10441767068273093,0,0.0847457627118644,1,0,0,0,0,0,1,0,0.3583959899749373,399,0,1,1,0,0,0,0
64,1,0,0,0,0,0,0,0,0,1,0,1,821,2,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,6,13,0,0,0,3,0,0,0,5,5.6,13,0,4.31740662898458,66,6.333333333333332,5,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0.2,1,0.5,1,1,0,0,0,0,2,2,0.9722222222222222,36,1,1,1,1,0,0,0
66,1,0,0,0,0,0,0,0,0,1,0,1,-1,2,0,1,37,0,0,0,0,0,0,0,0,8,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,11,10,0,0,0,3,0,0,0,5,6.4,11,2,3.6110940170535577,45,5.666666666666668,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0.0,0,0.25,1,0,0,0,0,0,1,0,0.2727272727272727,11,0,1,1,1,0,0,0
67,1,0,2,0,0,1,0,0,0,0,0,1,-1,22,0,30,413,0,0,0,5,0,6,7,0,8,1,0,0,10,13,378,2,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,10,0,0,0,2,32,7,0,1,58,6.120689655172414,36,0,5.927951283616244,1385,9.843321299638987,27,71,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,-1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
68,1,0,0,0,0,0,0,0,0,1,0,1,90,3,0,1,28,0,0,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0,0,1,5,4.6,7,2,2.2449944320643653,0,0.0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0,0.19047619047619047,1,1,0,1,1,1,2,1,1.0,26,1,1,1,1,0,0,0
69,1,0,2,0,0,0,0,0,0,0,0,1,90,3,0,8,255,4,0,0,4,0,2,3,0,46,0,0,1,6,105,132,5,0,1,1,0,0,1,1,1,0,0,5,0,0,0,1,6,0,0,0,1,10,3,0,1,17,14.0,48,3,12.579161105481045,734,7.588555858310626,12,52,5,5,0,0,3,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0.42857142857142855,1,1,0,1,1,0,2,0,1.0,10,1,1,1,1,0,0,0
72,1,0,2,0,1,0,0,0,0,1,0,1,5479,6,0,5,151,5,0,0,0,0,1,2,1,33,0,0,1,25,42,52,0,1,1,1,0,1,1,1,0,0,0,11,0,0,0,1,10,15,0,0,1,7,2,1,0,17,7.882352941176473,51,1,11.519203163521832,128,6.5078125,8,23,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1.0,0,0.7272727272727273,1,0,1,1,1,1,2,2,1.0,11,1,1,1,1,0,0,0
73,1,0,0,0,0,0,0,0,0,0,0,1,698,1,0,3,36,0,0,0,0,0,0,0,0,1,0,0,0,14,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,5,0,0,1,6,5.0,14,0,4.618802153517006,78,6.666666666666668,3,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.8333333333333334,1,1,0,1,1,0,0,0.8333333333333334,0,0.08333333333333333,1,0,0,1,1,0,1,0,0.4545454545454545,33,0,1,1,0,0,0,0
74,1,0,1,0,0,0,0,0,0,1,0,1,-1,5,0,2,56,1,0,0,0,0,0,0,0,0,0,0,1,18,27,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,15,3,0,0,0,4,0,0,1,7,7.0,16,2,5.47722557505166,90,7.044444444444442,6,10,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0.375,1,0,0,0,0,0,0,0.375,1,0.6595744680851063,1,1,1,1,1,0,2,0,1.0,81,1,1,1,1,0,1,0
75,1,0,0,1,0,0,0,0,0,1,0,1,365,1,0,5,47,1,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,7,0,0,1,8,4.875,12,0,4.075460096725276,100,5.85,4,11,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,1,0,1.0,0,0.5,1,1,1,1,1,0,2,0,1.0,28,1,1,1,1,0,0,0
76,1,0,0,0,0,0,0,0,0,1,0,1,-1,2,0,2,48,0,0,0,0,0,0,0,0,0,0,0,1,15,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,4,0,0,1,6,7.0,15,3,4.203173404306164,127,6.52755905511811,3,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3333333333333333,1,1,1,0,0,0,0,0.3333333333333333,0,0.8571428571428571,1,1,0,1,0,1,2,0,1.0,18,1,1,1,2,0,0,0
77,1,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,4,0,0,1,5,5.8,16,0,5.455272678794342,105,7.333333333333332,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,1,0.7777777777777778,1,0,1,1,0,0,2,0,1.0,8,1,1,1,1,0,1,0
78,1,0,2,1,0,0,0,0,0,1,0,1,90,2,0,2,213,0,0,0,1,0,2,3,0,88,0,0,1,22,21,157,2,0,1,1,0,0,0,1,1,0,0,4,0,0,0,1,22,0,0,0,1,4,3,0,1,11,18.363636363636363,72,2,24.10308440191733,266,8.631578947368421,8,17,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0.42857142857142855,1,1,0,0,0,0,0,0.42857142857142855,0,0.6785714285714286,1,1,0,1,1,0,2,1,1.0,28,1,1,1,1,0,0,0
79,1,0,1,0,0,0,0,0,0,0,0,1,90,2,0,7,75,1,0,0,0,0,0,0,0,0,0,0,1,12,52,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,12,0,0,0,0,9,0,0,1,11,5.8181818181818175,12,2,3.0989200998289657,97,5.4226804123711325,6,7,4,0,1,1,0,0,0,0,2,0,0,0,1,0,0.9473684210526316,1,1,1,0,0,0,0,0.9473684210526316,0,0.1875,1,1,0,1,1,0,2,2,0.9310344827586208,29,1,1,1,1,0,0,0
81,1,0,2,0,0,0,0,0,0,0,0,1,750,1,0,8,107,2,0,0,1,0,0,0,0,5,0,0,0,22,73,0,2,0,1,1,0,0,1,1,1,0,0,5,0,0,0,1,22,0,0,0,0,10,0,0,1,11,8.727272727272727,22,0,6.929396000058002,452,7.769911504424777,9,32,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0.0,0,0.5,1,1,0,1,0,0,2,0,1.0,8,1,1,1,1,0,0,0
83,1,0,1,0,0,0,0,0,0,0,0,1,1095,2,0,3,62,2,2,0,0,0,0,0,0,0,0,0,0,36,14,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,12,24,0,0,0,5,0,0,1,7,7.857142857142858,24,3,7.219587867710444,298,9.463087248322148,6,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.032679738562091505,1,1,0,0,1,0,0,0.032679738562091505,0,0.25,1,0,0,0,0,0,2,0,0.9780033840947546,591,1,1,1,1,0,0,0
84,1,0,2,1,0,0,0,0,0,1,0,1,-1,2,0,8,116,1,0,0,0,0,1,2,0,0,0,0,1,24,66,14,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,24,0,0,0,1,10,1,0,1,15,6.7333333333333325,24,0,5.495048275998634,290,9.43103448275862,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0.0,0,0.5833333333333334,1,1,0,1,0,0,2,0,1.0,11,1,1,1,1,0,0,0
85,1,0,0,0,0,0,0,0,0,1,0,1,-1,2,0,1,53,1,1,0,0,0,0,1,0,1,0,0,0,20,1,18,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,17,0,0,1,3,1,0,0,7,6.571428571428571,17,0,5.09501557146486,134,6.850746268656716,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0.0,0,0.2,1,0,1,0,0,0,2,2,1.0,1,1,1,1,1,0,0,0
91,1,0,2,1,1,0,0,0,0,0,0,1,90,15,0,4,291,1,0,0,0,0,10,11,0,62,0,0,1,14,32,233,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,14,0,0,1,2,6,6,1,1,36,7.083333333333332,18,1,4.493050188902857,374,5.804812834224599,13,24,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0.0,0,0.5,1,1,0,1,0,0,2,0,1.0,3,1,1,1,1,0,0,0
